1765287912	0	1765287914
1765287914	20	1765287973
1765287973	40	1765288033
1765288033	50	1765288218
1765288218	49	1765288225
1765288225	48	1765288235
1765288235	46	1765288238
1765288238	45	1765288254
1765288254	44	1765288262
1765288262	43	1765288263
1765288263	42	1765288266
1765288266	41	1765288270
1765288270	40	1765288273
1765288273	39	1765288278
1765288278	38	1765288280
1765288280	37	1765288283
1765288283	35	1765288285
1765288285	31	1765288287
1765288287	30	1765288289
1765288289	29	1765288290
1765288290	28	1765288295
1765288295	27	1765288296
1765288296	26	1765288302
1765288302	25	1765288305
1765288305	22	1765288307
1765288307	21	1765288309
1765288309	20	1765288310
1765288310	19	1765288316
1765288316	17	1765288319
1765288319	16	1765288320
1765288320	15	1765288328
1765288328	14	1765288337
1765288337	13	1765288346
1765288346	12	1765288348
1765288348	11	1765288356
1765288356	10	1765288359
1765288359	9	1765288363
1765288363	7	1765288369
1765288369	6	1765288370
1765288370	5	1765288373
1765288373	4	1765288377
1765288377	3	1765288389
1765288389	2	1765288391
1765288391	1	1765288393
